="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.477)",="(0.483)",="(0.483)",="(0.500)",="(0.509)",="(0.524)",="(0.532)",="(0.544)",="(0.571)",="(0.627)",="(0.645)",="(0.668)",="(0.710)",="(0.721)",="(0.720)",="(0.731)",="(0.782)",="(0.795)"
="L15.d_index",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.225",="0.312",="0.470",="0.398",="0.408",="0.677",="0.735",="0.714",="0.731",="0.790",="0.642",="0.857",="0.647",="0.561",="0.528",="0.703",="0.898"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.512)",="(0.517)",="(0.513)",="(0.525)",="(0.532)",="(0.544)",="(0.550)",="(0.565)",="(0.571)",="(0.628)",="(0.641)",="(0.647)",="(0.706)",="(0.710)",="(0.714)",="(0.732)",="(0.784)"
="L16.d_index",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.520",="0.303",="0.230",="0.164",="0.146",="0.100",="-0.063",="-0.046",="-0.060",="-0.280",="-0.357",="-0.336",="-0.200",="-0.029",="-0.027",="-0.049"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.511)",="(0.509)",="(0.509)",="(0.532)",="(0.535)",="(0.536)",="(0.545)",="(0.562)",="(0.573)",="(0.623)",="(0.624)",="(0.648)",="(0.694)",="(0.701)",="(0.712)",="(0.731)"
="L17.d_index",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.635",="-0.488",="-0.447",="-0.219",="-0.290",="-0.239",="-0.150",="-0.260",="-0.383",="-0.147",="0.126",="0.015",="-0.157",="-0.275",="-0.331"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.470)",="(0.483)",="(0.490)",="(0.514)",="(0.518)",="(0.524)",="(0.535)",="(0.556)",="(0.582)",="(0.625)",="(0.652)",="(0.668)",="(0.710)",="(0.727)",="(0.738)"
="L18.d_index",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="1.038*",="1.053*",="1.118*",="1.011*",="0.976",="0.873",="0.800",="0.826",="0.361",="0.397",="0.132",="0.543",="0.353",="0.345"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.481)",="(0.487)",="(0.488)",="(0.507)",="(0.534)",="(0.550)",="(0.564)",="(0.587)",="(0.597)",="(0.662)",="(0.674)",="(0.701)",="(0.754)",="(0.771)"
="L19.d_index",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.473",="0.488",="0.440",="0.569",="0.686",="0.582",="0.634",="0.953",="1.083",="0.649",="1.013",="0.803",="0.576"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.482)",="(0.485)",="(0.485)",="(0.512)",="(0.535)",="(0.551)",="(0.567)",="(0.588)",="(0.599)",="(0.658)",="(0.679)",="(0.740)",="(0.762)"
="L20.d_index",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.840",="-0.813",="-0.943",="-1.123",="-1.051",="-0.501",="-0.975",="-0.888",="-0.827",="-0.326",="-0.379",="-0.559"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.570)",="(0.572)",="(0.578)",="(0.608)",="(0.641)",="(0.667)",="(0.672)",="(0.703)",="(0.715)",="(0.780)",="(0.793)",="(0.819)"
